Galaxy Name,m-M,err,distance,Method,REFCODE,Notes,RA,Dec,GLON,GLAT,Type (RC3),velocity
,(mag),(mag),(Mpc),,,,(J2000),(J2000),,,,(km/s)
UGC 07356,29.12,0.18,6.7,SBF,2001A&A...380...90J,,12:19:09,#REF!,138.4,69.1,I..9?,331
NGC 4260,32.88,0.11,37.7,Sosies,2002A&A...393...57T,,12:19:22,#REF!,281.6,67.6,SBS1,1877
NGC 4261,32.34,0.19,29.4,SBF,2003ApJ...583..712J,I,12:19:23,#REF!,281.8,67.4,E.2+,2130
NGC 4262,30.82,...,14.6,GC radius,2005ApJ...634.1002J,GCrad,12:19:31,#REF!,270.1,75.7,LBS-$,1309
IC 0779,30.32,...,11.6,TRGB,2006AJ....131.1361K,,12:19:39,#REF!,189.5,82.5,S?,334
NGC 4267,30.76,...,14.2,GC radius,2005ApJ...634.1002J,GCrad,12:19:45,#REF!,274,73.9,LBS-$,942
NGC 4273,32.77,0.39,35.8,Sosies,2002A&A...393...57T,,12:19:56,#REF!,282.5,67,SBS5,2304
NGC 4278,30,0.19,10,PNLF,2002ApJ...577...31C,,12:20:07,#REF!,193.8,82.8,E.1+,647
NGC 4291,31.93,0.32,24.3,SBF,2003ApJ...583..712J,I,12:20:18,#REF!,125.6,41.6,E,1898
NGC 4283,30.98,0.19,15.7,SBF,2001ApJ...546..681T,I,12:20:21,#REF!,193.4,82.8,E.0,1057
NGC 4281,31.94,0.28,24.4,SBF,2001ApJ...546..681T,I,12:20:22,#REF!,282.8,67,L..+*/,2604
UGC 07399A,29.94,...,9.7,GC radius,2005ApJ...634.1002J,GCrad,12:20:49,#REF!,265.1,78,"dE5,N",1430
ESO 573- G 014,34.88*,0.22,92.5,SNIa,2006ApJ...645..488W,"SN 2000bh, z = 0.02281",12:21:16,-21:59:45,293.7,40.3,S?,6750
"CS 1036, BTS 128",31.02,0.25,16,SBF,2005A&A...437..823R,R,12:21:20,#REF!,189.8,82.9,"(dE5, N)?",1138
IC 0783,31.31,0.16,18.3,SBF,2004AJ....127..771J,R,12:21:39,#REF!,270.1,76.7,SXT0$,1220
NGC 4302,33.45,...,49,SNII rad,1998ApJ...500...51W,SN 1986E,12:21:43,#REF!,272.5,75.7,S..5*/,1058
ESO 321- G 025,31.05,0.28,16.2,Sosies,2002A&A...393...57T,,12:21:43,-39:46:10,296.7,22.7,SBT6P*,2029
UGC 07436,30.43,...,12.2,GC radius,2005ApJ...634.1002J,GCrad,12:22:20,#REF!,272.7,75.9,dE5,935
"M100, NGC 4321",30.76,0.07,14.2,Cepheids,2003A&A...411..361K,cte LMC K03,12:22:55,#REF!,271.1,76.9,SXS4,1540
NGC 4346,30.78,0.17,14.3,SBF,2001ApJ...546..681T,I,12:23:28,#REF!,136.6,69.4,L..../,843
NGC 4339,31.08,0.18,16.4,SBF,2001ApJ...546..681T,I,12:23:35,#REF!,284.2,67.9,E.0,1204
IC 3253,32.27,0.15,28.4,Sosies,2002A&A...393...57T,,12:23:45,-34:37:20,296.5,27.9,SAS5*,2553
NGC 4352,30.64,...,13.4,GC radius,2005ApJ...634.1002J,GCrad,12:24:05,#REF!,279.6,72.8,LA..*/,2046
NGC 4365,31.6,0.3,20.9,GCLF,1996AJ....112..954F,,12:24:28,#REF!,283.8,69.2,E.3,1154
NGC 4386,32.16,0.49,27,SBF,2001ApJ...546..681T,I,12:24:28,#REF!,125.2,41.5,LX.0*,1820
NGC 4371,30.82,...,14.6,GC radius,2005ApJ...634.1002J,GCrad,12:24:55,#REF!,279.7,73.4,LBR+,892
"M84, NGC 4374",30.89,0.11,15.1,PNLF,2002ApJ...577...31C,,12:25:04,#REF!,278.2,74.5,E.1,902
NGC 4377,31.22,...,17.5,GC radius,2005ApJ...634.1002J,GCrad,12:25:12,#REF!,275.3,76.2,LA.-,1310
NGC 4379,30.76,0.41,14.2,SBF,2001ApJ...546..681T,I,12:25:15,#REF!,273.8,77,L..-P*,1010
NGC 4373,33.29,0.19,45.5,SBF,2001MNRAS.327.1004B,,12:25:18,-39:45:35,297.5,22.8,LXT-*,3213
NGC 4391,31.9,0.27,24,SBF,2001ApJ...546..681T,I,12:25:19,#REF!,127.4,52,LA.-*,1480
"M85, NGC 4382",30.73,0.1,14,PNLF,2002ApJ...577...31C,,12:25:24,#REF!,267.7,79.2,LAS+P,686
VCC 0810,30.76,0.13,14.2,SBF,2004AJ....127..771J,R,12:25:34,#REF!,278.1,74.8,"dE0,N",-392
NGC 4389,30.85,...,14.8,Tully-Fisher,2003astro.ph.10284R,"I, TD-Tully-Fisher",12:25:35,#REF!,136.7,70.7,SBT4P*,777
VCC 0815,31.48,0.17,19.8,SBF,2004AJ....127..771J,R,12:25:37,#REF!,278.3,74.8,"dE2,N",-752
"ESO 322- G 008, NGC 4373A",31.31,0.05,18.3,SBF,1999ApJ...515...79P,I,12:25:38,-39:19:11,297.5,23.3,LA.+*/,2847
NGC 4387,31.65,0.73,21.4,SBF,2001ApJ...546..681T,I,12:25:42,#REF!,278.8,74.5,E,507
NGC 4395,28.15,0.18,4.3,Cepheids,2004AJ....127.2322T,"11, gri",12:25:49,#REF!,162.1,81.5,SAS9*,337
VCC 0846,31.3,0.19,18.2,SBF,2004AJ....127..771J,R,12:25:50,#REF!,278.4,74.8,E?,-782
IC 3328,31.28,0.25,18,SBF,2004AJ....127..771J,R,12:25:58,#REF!,282.4,71.9,E?,939
"M86, NGC 4406",30.92,0.09,15.3,PNLF,2002ApJ...577...31C,,12:26:12,#REF!,279.1,74.6,E.3,-302
"UGCA 281, I Zw 036",28.9,0.2,5.9,TRGB,2001AJ....121.3007S,H,12:26:16,#REF!,134.2,68.1,S?,348
NGC 4414,31.1,0.04,16.6,Cepheids,2003A&A...411..361K,cte LMC K03,12:26:27,#REF!,174.5,83.2,SAT5$,728
VCC 0928,31.42,0.14,19.2,SBF,2004AJ....127..771J,R,12:26:40,#REF!,280.1,74.3,E?,-310
NGC 4415,30.86,0.14,14.9,SBF,2004AJ....127..771J,R,12:26:41,#REF!,284.4,70.4,S..0,757
IC 3349,31.36,0.2,18.7,SBF,2004AJ....127..771J,R,12:26:47,#REF!,280.2,74.2,E?,1508
NGC 4417,31.01,...,15.9,GC radius,2005ApJ...634.1002J,GCrad,12:26:51,#REF!,283.5,71.5,LB..*/,787
NGC 4419,30.65,0.25,13.5,SBF,2001ApJ...546..681T,I,12:26:56,#REF!,276.4,76.6,SBS1./,-306
"DDO 126, UGC 07559",28.44,0.26,4.87,TRGB,2003A&A...398..467K,,12:27:05,#REF!,148.6,78.7,IB.9,247
NGC 4441,31.4,0.45,19,SBF,2001ApJ...546..681T,I,12:27:20,#REF!,127.1,52.1,LX.+P,1582
NGC 4431,30.94,0.12,15.4,SBF,2004AJ....127..771J,R,12:27:27,#REF!,281,74.1,LAR,745
NGC 4434,31.98,0.17,24.9,SBF,2003ApJ...583..712J,I,12:27:37,#REF!,285.3,70.2,E,1004
IC 3370,32.14,0.17,26.8,SBF,2001ApJ...546..681T,I,12:27:37,-39:20:16,297.9,23.3,E.2+,2748
"DDO 125, UGC 07577",26.98,0.07,2.49,TRGB,2002AJ....124..213M,,12:27:41,#REF!,137.8,72.9,I..9,246
NGC 4436,31.13,0.17,16.8,SBF,2004AJ....127..771J,R,12:27:41,#REF!,281.2,74.2,L,1269
NGC 4442,30.7,...,13.8,GC radius,2005ApJ...634.1002J,GCrad,12:28:04,#REF!,284.2,71.8,LBS0,467
NGC 4449,28.12,0.27,4.21,TRGB,2003A&A...398..467K,,12:28:12,#REF!,136.8,72.4,IB.9,255
IC 3381,31.27,0.14,18,SBF,2004AJ....127..771J,R,12:28:15,#REF!,282.3,73.7,E+..*,594
NGC 4448,33.38,0.6,47.4,Sosies,2002A&A...393...57T,,12:28:15,#REF!,195.4,84.7,SBR2,693
IC 3388,31.15,0.19,17,SBF,2004AJ....127..771J,R,12:28:28,#REF!,281.2,74.7,E?,1819
DDO 127,29.19,...,6.9,BS,1998A&AS..128..459M,,12:28:29,#REF!,147.1,78.8,S..9,308
NGC 4450,31.29,0.23,18.1,Sosies,2002A&A...393...57T,,12:28:30,#REF!,273.9,78.6,SAS2,1918
UGC 07605,28.23,0.28,4.43,TRGB,2003A&A...398..467K,,12:28:39,#REF!,151,80.1,I..9,332
NGC 4460,29.91,0.19,9.59,SBF,2001ApJ...546..681T,I,12:28:46,#REF!,135.8,71.7,LBS+$/,583
NGC 4458,31.33,0.2,18.5,GCLF,2001AJ....121.2950K,,12:28:58,#REF!,281.1,75.2,E.0+,617
NGC 4459,31.04,0.22,16.1,SBF,2001ApJ...546..681T,I,12:29:00,#REF!,280.1,75.8,LAR+,1154
NGC 4464,30.59,...,13.1,GC radius,2005ApJ...634.1002J,GCrad,12:29:21,#REF!,286.5,70.3,S?,1188
NGC 4468,31,0.14,15.8,SBF,2001ApJ...546..681T,I,12:29:31,#REF!,280.5,76,LA.-?,860
"M49, NGC 4472",30.69,0.13,13.7,PNLF,2002ApJ...577...31C,,12:29:47,#ERROR!,286.9,70.2,E.2,846
NGC 4473,31.32,0.08,18.4,GCLF,2001AJ....121.2950K,,12:29:49,#REF!,281.6,75.4,E.5,2187
UGC 07639,29.27,0.16,7.1,SBF,2005A&A...437..823R,R,12:29:53,#REF!,133.2,69.2,I..9,446
NGC 4474,30.82,...,14.6,GC radius,2005ApJ...634.1002J,GCrad,12:29:54,#REF!,280.8,76,L...P*,1532
NGC 4476,31.42,...,19.2,GCLF,1997ApJ...483..745N,GCLF,12:29:59,#REF!,283.1,74.4,LAR-*,1873
NGC 4482,31.34,0.16,18.5,SBF,2004AJ....127..771J,R,12:30:10,#REF!,284.9,72.9,E,1786
NGC 4478,31.08,0.38,16.4,GCLF,2000ApJ...533..125K,,12:30:17,#REF!,283.4,74.4,E.2,1329
NGC 4479,31.07,...,16.4,GC radius,2005ApJ...634.1002J,GCrad,12:30:18,#REF!,281.9,75.6,LBS0*$,773
NGC 4486B,31.06,0.03,16.3,GCLF,2001AJ....121.2950K,,12:30:32,#REF!,283.4,74.6,CE.0,1456
NGC 4490,29.9,1.16,9.55,Sosies,2002A&A...393...57T,,12:30:36,#REF!,138,74.9,SBS7P,625
NGC 4483,31.01,...,15.9,GC radius,2005ApJ...634.1002J,GCrad,12:30:41,#ERROR!,286.8,71.2,LBS+*,781
"M87, NGC 4486",30.71,0.1,13.9,PNLF,2002ApJ...577...31C,,12:30:49,#REF!,283.8,74.5,E+0+P,1229
NGC 4489,30.6,0.35,13.2,SBF,1998ApJ...505..111J,K,12:30:52,#REF!,277.2,78.6,E,919
NGC 4493,34.93*,0.03,94.6,SNIa,2006ApJ...647..501P,"SN 1994M, z = 0.02316",12:31:10,#ERROR!,291.7,63,E+..P*,6773
IC 3442,30.92,0.17,15.28,SBF,2004AJ....127..771J,R,12:31:20,#REF!,282.1,76.2,E.0.*,6163
NGC 4495,34.071*,0.146,64.2,SNIa,2006A&A...447...31A,"SN 1994S, z = 0.01518",12:31:23,#REF!,187.3,85.1,S..2,4554
NGC 4494,30.51,0.08,12.6,PNLF,2002ApJ...577...31C,,12:31:24,#REF!,228.6,85.3,E.1+,1316
NGC 4496A,30.67,0.13,13.6,Cepheids,1997ApJ...491...13K,"56, VI +Z",12:31:39,#REF!,290.6,66.3,SBT9,1653
"M88, NGC 4501",30.12*,0.24,10.5,SNIa,2006ApJ...645..488W,"SN 1999cl, z = 0.00761",12:31:59,#REF!,282.3,76.5,SAT3,2233
"IC 3461, M87 dw06",30.38,...,11.9,GC radius,2005ApJ...634.1002J,GCrad,12:32:03,#REF!,285.4,74.1,E?,1189
IC 3468,31.64,0.18,21.3,SBF,2004AJ....127..771J,R,12:32:14,#REF!,287,72.5,E,1313
IC 3470,30.82,...,14.6,GC radius,2005ApJ...634.1002J,GCrad,12:32:23,#REF!,286.3,73.5,E?,1987
DDO 133,28.93,...,6.1,BS,1998A&AS..128..459M,,12:32:54,#REF!,164.3,84,I..9,345
NGC 4515,30.7,...,13.8,GC radius,2005ApJ...634.1002J,GCrad,12:33:05,#REF!,280.6,78.3,L..-*,901
NGC 4523,29.03,...,6.4,BS,2000Ap.....43..367T,,12:33:48,#REF!,283.1,77.4,SXS9,218
NGC 4520,35.267*,0.048,110,SNIa,2006ApJ...647..501P,"SN 2000bk, z = 0.02544",12:33:50,-7:22:32,295.3,55.2,LA.-P/,7516
IC 3501,30.64,...,13.4,GC radius,2005ApJ...634.1002J,GCrad,12:33:52,#REF!,285.5,75.6,d:E1,1593
NGC 4526,31.14,0.2,16.9,SBF,2001ApJ...559..584A,I,12:34:03,#REF!,290.2,70.1,LXS0*,530
IC 3506,30.44,...,12.2,GC radius,2005ApJ...634.1002J,GCrad,12:34:07,#REF!,286.3,75.1,"dE0,N",1436
NGC 4527,30.48,0.09,12.5,Cepheids,2001ApJ...547L.103G,"16, VI",12:34:09,#REF!,292.6,65.2,SXS4,1652
IC 3509,30.43,...,12.2,GC radius,2005ApJ...634.1002J,GCrad,12:34:12,#REF!,287.1,74.4,E4,1941
NGC 4531,30.91,0.22,15.2,SBF,2001ApJ...546..681T,I,12:34:16,#REF!,286.1,75.4,LB.+*,140
NGC 4535,30.85,0.05,14.8,Cepheids,2001ApJ...553...47F,"KP, 47, VI",12:34:20,#REF!,290.1,70.6,SXS5,1892
NGC 4536,30.61,0.12,13.2,Cepheids,1997ApJ...491...13K,"32, VI +Z",12:34:27,#REF!,293,64.7,SXT4,1721
"M91, NGC 4548",30.77,0.08,14.3,Cepheids,2003A&A...411..361K,cte LMC K03,12:35:26,#REF!,285.7,76.8,SBT3,442
NGC 4546,30.74,0.2,14.1,SBF,2001ApJ...546..681T,I,12:35:30,-3:47:36,295.2,58.8,LBS-*,948
NGC 4550,31.56,0.14,20.5,GCLF,2001AJ....121.2950K,,12:35:31,#REF!,288.1,74.6,LB.0*/,336
UGC 07767,32.22,0.97,27.8,SBF,2001ApJ...546..681T,I,12:35:33,#REF!,124.5,43.4,E,1422
NGC 4551,31.19,0.17,17.3,SBF,2001ApJ...546..681T,I,12:35:38,#REF!,288.2,74.7,E...*,1368
"M89, NGC 4552",30.66,0.3,13.6,GCLF,1994AJ....108.2087A,R,12:35:40,#REF!,287.9,75,E.0+,261
NGC 4565,30.08,0.15,10.4,PNLF,2002ApJ...577...31C,,12:36:21,#REF!,230.8,86.4,SAS3$/,1221
NGC 4564,30.88,0.17,15,SBF,2001ApJ...546..681T,I,12:36:27,#REF!,289.6,73.9,E,1066
NGC 4568,31.47,0.11,19.7,Sosies,2002A&A...393...57T,,12:36:34,#REF!,289.8,73.7,SAT4,2202
NGC 4570,30.7,...,13.8,GC radius,2005ApJ...634.1002J,GCrad,12:36:53,#REF!,292.4,69.8,L..../,1664
