Galaxy Name,m-M,err,distance,Method,REFCODE,Notes,RA,Dec,GLON,GLAT,Type (RC3),velocity
,(mag),(mag),(Mpc),,,,(J2000),(J2000),,,,(km/s)
"DDO 193, UGC 09391",32.99*,0.19,39.4,SNIa,2006ApJ...645..488W,"SN 2003du, z = 0.00638",14:34:37,#REF!,101.2,53.2,SB.8,2062
NGC 5687,32.23,0.51,27.9,SBF,2001ApJ...546..681T,I,14:34:52,#REF!,95.4,56.8,L..-$,2251
"DDO 194, UGC 09405",29.52,0.2,8.02,BS,1998A&AS..133..181M,,14:35:24,#REF!,98.7,54.7,I..9,359
UGC 09401,35.29,0.42,114,Sosies,2002A&A...393...57T,,14:36:09,#REF!,26,65.6,S?,5680
NGC 5728,32.4,0.25,30.2,Sosies,2002A&A...393...57T,,14:42:24,-17:15:11,337.3,38.1,SXR1*,2735
NGC 5740,32.42,0.17,30.5,Sosies,2002A&A...393...57T,,14:44:24,#REF!,354.5,52.9,SXT3,1567
NGC 5772,35.2,0.25,110,Sosies,2002A&A...393...57T,,14:51:39,#REF!,69.2,61.8,SAR3*,5026
NGC 5770,31.39,0.29,19,SBF,2001ApJ...546..681T,I,14:53:15,#REF!,359.7,52.8,LB,1473
NGC 5786,32.1,0.63,26.3,Sosies,2002A&A...393...57T,,14:58:56,-42:00:48,326.9,14.9,PSBS4,2868
NGC 5806,31.65,0.08,21.4,Sosies,2002A&A...393...57T,,15:00:00,#REF!,359.1,50.2,SXS3,1367
NGC 5812,32.15,0.29,26.9,SBF,2001ApJ...546..681T,I,15:00:56,-7:27:27,349.8,43.3,E.0,1992
ESO 223- G 009,29.03,...,6.4,TRGB,2007AJ....133..504K,,15:01:09,-48:17:26,324.1,9.2,IXS9,460
NGC 5813,32.53,0.18,32.1,SBF,2001MNRAS.327.1004B,,15:01:11,#REF!,359.2,49.8,E.1+,1933
NGC 5831,32.17,0.17,27.2,SBF,2001ApJ...546..681T,I,15:04:07,#REF!,359.4,49,E.3,1677
NGC 5839,31.77,0.3,22.6,SBF,2001ApJ...546..681T,I,15:05:28,#REF!,0.2,49,LXT0*,1242
NGC 5845,31.91,0.21,24.1,SBF,2003ApJ...583..712J,I,15:06:01,#REF!,0.3,48.9,E...*,1462
NGC 5846,32.32,0.23,29.1,GCLF,1996AJ....112.2448F,,15:06:29,#REF!,0.4,48.8,E.0+,1793
NGC 5866,30.73,0.12,14,PNLF,2002ApJ...577...31C,,15:06:30,#REF!,92,52.5,LA.+./,916
NGC 5874,33.41,0.28,48.1,Sosies,2002A&A...393...57T,,15:07:52,#REF!,90.5,52.9,SXT5,3274
"DDO 199, Ursa Minor Dwarf",18.9,...,0.06,TRGB,2000glg..book.....V,,15:09:09,#REF!,105,44.8,E,-47
NGC 5861,31.94,0.15,24.4,Sosies,2002A&A...393...57T,,15:09:16,-11:19:18,348.5,39.1,SXT5,1863
NGC 5869,31.98,1.22,24.9,SBF,2001ApJ...546..681T,I,15:09:49,#ERROR!,360,47.4,L..0*,2098
NGC 5833,32.62,0.15,33.4,Sosies,2002A&A...393...57T,,15:11:54,-72:51:34,312.9,-12.8,SAS4P*,2871
NGC 5878,32.32,0.1,29.1,Sosies,2002A&A...393...57T,,15:13:46,-14:16:11,347.2,36.1,SAS3,1953
ESO 274- G 001,27.42,...,3.05,TRGB,2007AJ....133..504K,,15:14:13,-46:48:33,326.8,9.3,SA.7*/,405
"WKK 4748, ZOAG323.59+4.04",31.61,0.24,21,Sosies,2002A&A...393...57T,,15:14:35,-52:59:20,323.6,4,SB.3?/,1315
"ESO 514- G 001, AP Librae",37.03,...,243,BL LAC M,2005ApJ...635..173S,,15:17:42,-24:22:20,340.7,27.6,"N gal, BLLAC",12534
NGC 5898,32.32,0.26,29.1,SBF,2001ApJ...546..681T,I,15:18:14,-24:05:53,341,27.7,E.0,2153
NGC 5903,32.65,0.23,33.9,SBF,2001ApJ...546..681T,I,15:18:37,-24:04:07,341.1,27.7,E.2,2479
ESO 387- G 026,33.83,0.11,58.3,Sosies,2002A&A...393...57T,,15:20:47,-36:56:01,333.4,17,SXS5*,2979
[M96b] J152109.75+275508,38.68*,0.28,482,SNIa,2006ApJ...645..488W,"SN 1996ab, z = 0.13",15:21:09,#REF!,43.2,56.9,S:,36555
NGC 5938,32.2,0.57,27.5,Sosies,2002A&A...393...57T,,15:36:26,-66:51:35,318.1,-9,SBT4,3381
NGC 5970,32.35,0.23,29.5,Sosies,2002A&A...393...57T,,15:38:30,#REF!,20.4,48.2,SBR5,2030
NGC 5982,33.57,0.66,51.7,SBF,2001MNRAS.327.1004B,,15:38:40,#REF!,93.1,46.9,E.3,3067
NGC 5990,33.42,0.13,48.3,Sosies,2002A&A...393...57T,,15:46:16,#REF!,10,41.5,PS..1P?,3880
NGC 5967,32.72,0.16,35,Sosies,2002A&A...393...57T,,15:48:16,-75:40:23,313.3,-16.5,SXT5*,2817
NGC 6000,32.73,0.62,35.2,Sosies,2002A&A...393...57T,,15:49:50,-29:23:13,343.3,19.2,SBS4*,2057
MCG +11-19-025,35.95*,0.2,149,SNIa,2006ApJ...645..488W,"SN 2000cf, z = 0.036",15:52:56,#REF!,99.9,42.2,,10771
IC 1153,31.28,0.21,18,SBF,2001ApJ...546..681T,I,15:57:03,#REF!,76.1,48.5,L,900
NGC 6017,32.37,0.31,29.8,SBF,2001ApJ...546..681T,I,15:57:16,#REF!,16,41.1,S?,1717
NGC 6038,35.58*,0.2,127,SNIa,2006ApJ...645..488W,"SN 1999cc, z = 0.03133",16:02:41,#REF!,59.7,48.7,S..5,9532
NGC 6063,32.71*,0.25,34.5,SNIa,2006ApJ...645..488W,"SN 1999ac, z = 0.0095",16:07:13,#REF!,19.9,40,S..6*,2919
NGC 6070,32.14,0.11,26.8,Sosies,2002A&A...393...57T,,16:09:59,#ERROR!,12.5,35.6,SAS6,2058
KKR 25,26.35,0.14,1.86,TRGB,2001A&A...379..407K,,16:13:48,#REF!,83.9,44.4,Ir,29
ESO 137- G 018,29.01,...,6.34,TRGB,2007AJ....133..504K,,16:20:58,-60:29:28,326.1,-7.4,SAS5*,486
UGC 10432,36.08*,0.19,159,SNIa,2004ApJ...607..665R,"SN 1998cs, z = 0.03256",16:30:39,#REF!,65.2,43.3,S..3,9943
NGC 6181,32.72,0.08,35,Sosies,2002A&A...393...57T,,16:32:21,#REF!,37.2,39.2,SXT5,2492
MCG -01-42-004,31.77,0.23,22.6,Sosies,2002A&A...393...57T,,16:42:03,-5:01:58,12,25.7,SXT4*,1629
NGC 6207,31.65,...,21.4,Brightest Stars,2006MNRAS.369.1303H,BS,16:43:04,#REF!,59.5,40.7,SAS5,1010
CGCG 224-104,35.405*,0.041,117,SNIa,2006ApJ...647..501P,"SN 1994Q, z = 0.02956",16:49:51,#REF!,64.4,39.7,SO,8899
NGC 6221,29.12,0.32,6.67,Sosies,2002A&A...393...57T,,16:52:46,-59:13:07,329.7,-9.6,SBS5,1368
UGC 10743,32.72*,0.24,34.7,SNIa,2006ApJ...645..488W,"SN 2002er, z = 0.00857",17:11:31,#REF!,28.7,25.8,S..1?,2682
MCG +03-44-003,35.43*,0.2,118,SNIa,2006ApJ...645..488W,"SN 1990O, z = 0.03066",17:15:34,#REF!,37.7,28.4,SBa,9185
NGC 6300,30.22,0.08,11.1,Sosies,2002A&A...393...57T,,17:17:00,-62:49:14,328.5,-14.1,SBT3,997
"DDO 208, Draco Dwarf",19.5,...,0.08,TRGB,2000glg..book.....V,,17:20:12,#REF!,86.4,34.7,E...P,-87
"I Zw 187, PGC 060348",37,...,238,BL LAC M,2005ApJ...635..173S,,17:28:19,#REF!,77.1,33.5,BLLAC,16804
NGC 6384,31.12,0.31,16.7,Sosies,2002A&A...393...57T,,17:32:24,#REF!,30.3,20.8,SXR4,1786
NGC 6411,32.93,0.35,38.5,SBF,2001MNRAS.327.1004B,,17:35:33,#REF!,89.7,32.6,E,3889
ESO 009- G 010,32.24,0.11,28.1,Sosies,2002A&A...393...57T,,17:39:32,-85:18:38,307.9,-25.6,SAS4*,2257
IC 4662,26.94,...,2.44,TRGB,2006AJ....131.1361K,,17:47:09,-64:38:30,328.5,-17.8,IB.9,198
NGC 6503,28.61,0.23,5.27,TRGB,2003A&A...398..479K,,17:49:27,#REF!,100.6,30.6,SAS6,241
NGC 6484,33.98,0.79,62.5,Sosies,2002A&A...393...57T,,17:51:47,#REF!,49.5,23.4,S..3*,3283
NGC 6495,33.16,0.15,42.9,SBF,2001ApJ...559..584A,I,17:54:51,#REF!,43.6,20.5,E,3294
UGC 11064,34.91*,0.22,93.7,SNIa,2006ApJ...645..488W,"SN 2000cn, z = 0.02349",17:57:41,#REF!,53.4,23.3,S..6*,7222
NGC 6483,33.77,0.48,56.8,SBF,2001MNRAS.327.1004B,,17:59:31,-63:40:07,330.1,-18.7,E.4,4807
NGC 6548,31.81,0.21,23,SBF,2001ApJ...546..681T,I,18:05:50,#REF!,44.9,18.2,S?,2357
"3C 371, 1ES 1807+698",36.85,...,223,BL LAC M,2005ApJ...635..173S,,18:06:51,#REF!,100.1,29.2,"E, BLLAC",15496
UGC 11149,36.606*,0.054,208,SNIa,2006A&A...447...31A,"SN 1998dx, z = 0.05422",18:11:10,#REF!,77.7,26.7,Sb,16422
NGC 6627,34.187*,0.075,67.6,SNIa,2006ApJ...647..501P,"SN 1998V, z = 0.01757",18:22:39,#REF!,43.9,13.3,PSBS3,5432
NGC 6673,30.18,0.23,10.9,SBF,2001ApJ...546..681T,I,18:45:06,-62:17:50,333.3,-23.1,LXS-*,1036
IC 4758,33.901*,0.019,59.4,SNIa,2006ApJ...647..501P,"SN 2001cn, z = 0.0155",18:46:18,-65:45:24,329.6,-24.1,Sc,4647
NGC 6702,33.51,0.24,50.4,SBF,2001ApJ...546..681T,I,18:46:58,#REF!,75,19.8,E...*,4928
NGC 6703,31.7,0.23,21.9,GCLF,2001AJ....122.1251K,,18:47:19,#REF!,74.9,19.7,LA.-,2580
NGC 6684,30.72,0.24,13.9,SBF,2001ApJ...546..681T,I,18:48:58,-65:10:24,330.3,-24.2,PLBS0,746
ESO 396- G 007,34.47,0.15,78.3,Sosies,2002A&A...393...57T,,18:54:22,-34:36:40,1.6,-15.6,S..5*,5863
SGR dSPH,16.5,...,0.02,TRGB,2000glg..book.....V,,18:55:19,-30:32:42,5.6,-14.2,d Sph(t),170
IC 4797,32.24,0.2,28.1,SBF,2001ApJ...546..681T,I,18:56:30,-54:18:21,342.1,-22.4,E+..P*,2617
ESO 183- G 030,33.42,0.54,48.4,SBF,2001MNRAS.327.1004B,,18:56:56,-54:32:44,341.8,-22.6,LA.-P?,2627
UGC 11404,32.93,0.16,38.5,Sosies,2002A&A...393...57T,,19:07:04,#ERROR!,60.7,9.7,S..4,4112
NGC 6764,32.86,...,37.4,HII,2005JKAS...38....7I,,19:08:16,#REF!,81.5,18.2,SBS4,2637
NGC 6744,29.85,0.1,9.33,Sosies,2002A&A...393...57T,,19:09:46,-63:51:27,332.2,-26.1,SXR4,746
NGC 6754,32.98,0.09,39.4,Sosies,2002A&A...393...57T,,19:11:26,-50:38:31,346.6,-23.7,SBT3,3210
IC 4830,33.61*,0.19,52,SNIa,2006ApJ...645..488W,"SN 2001bt, z = 0.01464",19:13:49,-59:17:40,337.3,-25.9,SBR4,4313
NGC 6789,27.78,...,3.6,TRGB,2001dge..conf...95D,,19:16:41,#REF!,95,21.5,I..9,77
NGC 6788,33.26,0.05,44.9,Sosies,2002A&A...393...57T,,19:26:50,-54:57:05,342.4,-26.9,SAS2,2707
Sag DIG,25.09,0.1,1.04,TRGB,2002A&A...389..812K,,19:29:59,-17:40:41,21.1,-16.3,IBS9*,8
UGC 11459,33.45,0.16,49,Sosies,2002A&A...393...57T,,19:37:23,#REF!,74.1,9.4,S..7,3348
"[W91] 1938.3-5513, LEDA 140858",34.23,...,70,SNII opt,2003MNRAS.346...97N,SN 1991al,19:42:22,-55:06:16,342.6,-29.1,S,2940
NGC 6822,23.22,0.52,0.441,Cepheids,2002A&A...389...19P,MW HIPP,19:44:57,-14:47:21,25.4,-18.4,IBS9,44
IC 4889,32.33,0.16,29.2,SBF,2001ApJ...546..681T,I,19:45:15,-54:20:39,343.5,-29.4,E.5+,2473
UGC 11498,34.03,0.44,64,Sosies,2002A&A...393...57T,,19:57:15,#REF!,45.9,-11.8,SB.3*,3439
"SGC 1955.1-5624, PGC 063925",36.321*,0.026,177,SNIa,2006ApJ...647..501P,"SN 1990T, z = 0.040",19:58:59,-56:15:29,341.5,-31.5,LAS0?,11693
1ES 1959+650,37.09,...,250,BL LAC M,2005ApJ...635..173S,,20:00:00,#REF!,98,17.7,"E, BLLAC",14050
IC 4919,33.78*,0.25,56.2,SNIa,2006ApJ...645..488W,"SN 1991ag, z = 0.01422",20:00:09,-55:22:24,342.5,-31.6,SBS8P,4177
NGC 6869,32.53,0.22,32.1,SBF,2001ApJ...546..681T,I,20:00:42,#REF!,99.1,18.1,L,2957
NGC 6851,32.79,0.21,36.1,SBF,2001ApJ...546..681T,I,20:03:34,-48:17:04,350.9,-31.6,E...*,3023
"[KK98] 246, ESO 461- G 036",29.47,...,7.83,TRGB,2006AJ....131.1361K,,20:03:57,-31:40:54,9.7,-28.4,dw Irr,467
IC 4943,32.48,0.19,31.3,SBF,2001ApJ...546..681T,I,20:06:28,-48:22:32,350.9,-32.1,E...P*,2823
NGC 6861,32.24,0.36,28.1,SBF,2001ApJ...546..681T,I,20:07:20,-48:22:13,350.9,-32.2,LAS-*,2754
PKS 2005-489,37.64,...,315,BL LAC M,2005ApJ...635..173S,,20:09:25,-48:49:54,350.4,-32.6,BLLAC,20530
NGC 6868,32.14,0.25,26.8,SBF,2001ApJ...546..681T,I,20:09:54,-48:22:46,350.9,-32.6,E.2,2831
NGC 6876,33.53,0.38,50.9,SBF,2001MNRAS.327.1004B,,20:18:19,-70:51:32,324.1,-32.6,E.3,3753
NGC 6916,33.42,0.3,48.3,Sosies,2002A&A...393...57T,,20:23:33,#REF!,93.4,11.9,SB.4,3329
NGC 6906,34.09,0.63,65.8,Sosies,2002A&A...393...57T,,20:23:34,#REF!,49.8,-17.1,SBT4*,5023
NGC 6902,32.41,0.29,30.3,Sosies,2002A&A...393...57T,,20:24:28,-43:39:13,356.9,-34.7,SAR3,2778
NGC 6909,32.75,0.16,35.5,SBF,2001ApJ...546..681T,I,20:27:39,-47:01:37,352.8,-35.5,E+..*,2709
UGC 11583,28.85,...,5.9,BS,1997AstL...23..373S,,20:30:15,#REF!,95.6,12.3,Irr,353
[KK98] 251,28.63,...,5.3,BS,2000A&A...362..544K,,20:30:33,#REF!,95.6,12.2,Irr?,352
ESO 340- G 038,34.61,...,83.7,SNII opt,1996ApJ...466..911E,SN 1992af,20:30:39,-42:18:33,358.7,-35.7,S,5485
[KK98] 252,28.64,...,5.3,BS,2000A&A...362..544K,,20:31:32,#REF!,96,12.4,Sph?,358
NGC 6923,32.62,0.09,33.4,Sosies,2002A&A...393...57T,,20:31:39,-30:49:55,12.5,-33.9,SBT3*,2871
NGC 6946,29.15,...,6.8,TRGB,2000A&A...362..544K,,20:34:52,#REF!,95.7,11.7,SXT6,277
NGC 6951,31.79*,0.22,22.7,SNIa,2006ApJ...645..488W,"SN 2000E, z = 0.00475",20:37:14,#REF!,100.9,14.9,SXT4,1645
1ES 2037+521,39.28,...,682,BL LAC M,2005ApJ...635..173S,,20:39:24,#REF!,89.7,6.6,BLLAC,15470
NGC 6943,32.29,0.13,28.7,Sosies,2002A&A...393...57T,,20:44:34,-68:44:52,326,-35.3,SXR6*,3005
KKR 55,28.66,...,5.4,BS,2000A&A...362..544K,,20:45:21,#REF!,96.7,10.8,Ir,260
ESO 234- G 069,33.77*,0.19,56,SNIa,2006ApJ...645..488W,"SN 1992al, z = 0.014",20:45:55,-51:23:28,347.3,-38.5,SBS5*,4325
"DDO 210, Aquarius Dwarf",24.86,0.1,0.94,TRGB,2002A&A...389..812K,,20:46:52,-12:50:53,34,-31.3,IBS9,-23
KKR 56,28.85,...,5.9,BS,1997AstL...23..373S,,20:48:24,#REF!,95.5,9.4,Ir,186
CEPHEUS 1,28.89,...,6,BS,2000A&A...362..544K,,20:51:11,#REF!,94.4,8,Sm?,286
IC 5052,28.75,0.07,5.62,TRGB,2006astro.ph..3457T,,20:52:02,-69:11:36,325.2,-35.8,SB.7*/,483
NGC 6986,34.95*,0.22,95,SNIa,2006ApJ...645..488W,"SN 2002el, z = 0.02873",20:56:31,-18:34:00,28.8,-35.7,LB.-?,8720
KKR 59,28.34,...,4.7,BS,2000A&A...362..544K,,21:03:24,#REF!,95.8,7,Ir,226
"NGC 7014, Abell 3742",34.06,0.25,64.9,GCLF,1998ApJ...499..577L,,21:07:52,-47:10:44,352.5,-42.4,E+..*,4769
IC 5084,33.77,0.39,56.8,Sosies,2002A&A...393...57T,,21:09:15,-63:17:24,331.6,-39.3,SBS3?P,3013
NGC 7029,32.92,0.49,38.4,SBF,2001ApJ...546..681T,I,21:11:52,-49:17:01,349.6,-42.8,E.6.*,2754
NGC 7041,32.05,0.31,25.7,SBF,2001ApJ...546..681T,I,21:16:32,-48:21:49,350.7,-43.7,LAT-*,1880
NGC 7049,32.38,0.22,29.9,SBF,2001ApJ...546..681T,I,21:19:00,-48:33:43,350.4,-44.1,LAS0,2172
NGC 7059,31.13,0.35,16.8,Sosies,2002A&A...393...57T,,21:27:22,-60:00:53,334.7,-42.4,SXT5,1669
[WM92] 212426.8-614612,37.48*,0.23,291,SNIa,2006ApJ...645..488W,"SN 1992ae, z = 0.075",21:28:18,-61:33:06,332.7,-42,E1?,21565
[TB93] 2131.14-6257.7,36.50*,0.19,190,SNIa,2006ApJ...645..488W,"SN 1990af, z = 0.0503",21:34:59,-62:44:15,330.8,-42.2,SB0,14618
NGC 7083,32.68,0.07,34.4,Sosies,2002A&A...393...57T,,21:35:46,-63:54:10,329.4,-41.8,SAS4,3021
NGC 7097,32.55,0.21,32.4,SBF,2001ApJ...546..681T,I,21:40:13,-42:32:22,358.4,-48.5,E.5,2535
UGC 11818,31.86,0.3,23.6,Sosies,2002A&A...393...57T,,21:47:16,#REF!,110,14.4,S?,2616
NGC 7131,34.288*,0.084,70.8,SNIa,2006ApJ...647..501P,"SN 1998co, z = 0.01807",21:47:36,-13:10:57,41.5,-44.9,PLAT0?,5567
NGC 7126,32.86,0.14,37.3,Sosies,2002A&A...393...57T,,21:49:18,-60:36:33,332.4,-44.7,SAT5,2976
NGC 7144,31.95,0.12,24.5,SBF,2001ApJ...546..681T,I,21:52:42,-48:15:14,349.2,-49.6,E.0,1904
NGC 7145,31.85,0.21,23.4,SBF,2001ApJ...546..681T,I,21:53:20,-47:52:57,349.7,-49.8,E.0,1864
NGC 7177,31.56,0.14,20.5,Sosies,2002A&A...393...57T,,22:00:41,#REF!,75.4,-29,SXR3,1343
NGC 7171,33.29,0.1,45.5,Sosies,2002A&A...393...57T,,22:01:02,-13:16:11,43.5,-47.9,SBT3,2797
NGC 7173,32.48,0.19,31.3,SBF,2001ApJ...546..681T,I,22:02:03,-31:58:25,15,-53.1,E+..P*,2535
NGC 7168,32.72,0.24,35,SBF,2001ApJ...546..681T,I,22:02:07,-51:44:35,343.3,-49.9,E.3,2706
NGC 7180,31.26,0.26,17.9,SBF,2001ApJ...546..681T,I,22:02:19,-20:32:52,33.3,-51,L..0?,1365
IC 5152,26.58,0.18,2.07,TRGB,2002A&A...389..812K,,22:02:42,-51:17:47,343.9,-50.2,IAS9,80
1ES 2200+420,38.31,...,430,BL LAC M,2005ApJ...635..173S,,22:02:43,#REF!,92.6,-10.4,BLLAC,19862
NGC 7185,31.51,0.37,20,SBF,2001ApJ...546..681T,I,22:02:57,-20:28:17,33.4,-51.1,LXT-P?,1918
"PKS B2201+044, PGC 067974",35.46,...,120,BL LAC M,2005ApJ...635..173S,,22:04:18,#REF!,64.7,-38.6,"E, BLLAC",8410
NGC 7196,33.11,0.3,41.9,SBF,2001MNRAS.327.1004B,,22:05:55,-50:07:10,345.4,-51.1,E...*,2882
NGC 7192,32.89,0.32,37.8,SBF,2001ApJ...546..681T,I,22:06:50,-64:18:59,326.5,-44.5,E+..*,2806
NGC 7200,32.71,0.32,34.8,SBF,2001ApJ...546..681T,I,22:07:10,-49:59:44,345.4,-51.3,E+..*,2850
NGC 7205,31.17,0.21,17.1,Sosies,2002A&A...393...57T,,22:08:34,-57:26:33,334.8,-48.4,SAS4,1623
NGC 7218,32.1,0.09,26.3,Sosies,2002A&A...393...57T,,22:10:12,-16:39:40,40.1,-51.3,SBT6,1756
IC 5179,33.26*,0.19,44.4,SNIa,2006ApJ...645..488W,"SN 1999ee, z = 0.01141",22:16:09,-36:50:37,6.5,-55.9,SAT4,3421
ESO 027- G 008,32.44,0.08,30.8,Sosies,2002A&A...393...57T,,22:23:04,-79:59:49,310.3,-34.9,SBS5*,2332
NGC 7280,31.77,0.22,22.6,SBF,2003ApJ...583..712J,I,22:26:28,#REF!,79.5,-34.2,LXR+,2030
NGC 7302,31.88,0.21,23.8,SBF,2001ApJ...546..681T,I,22:32:24,-14:07:14,47.7,-55.1,LAS-*,2682
NGC 7331,30.79,0.12,14.4,Cepheids,2001ApJ...548..564W,LMC W01,22:37:04,#REF!,93.7,-20.7,SAS3,1035
NGC 7332,31.81,0.2,23,SBF,2001ApJ...546..681T,I,22:37:25,#REF!,87.4,-29.7,L...P/,1468
NGC 7339,31.15,...,17,SNII opt,1996ApJ...466..911E,SN 1989L,22:37:47,#REF!,87.5,-29.7,SXS4*$,1543
UGC 12133,35.02*,0.24,98.5,SNIa,2006ApJ...645..488W,"SN 1998eg, z = 0.02476",22:39:32,#REF!,76.5,-42.1,S..6*,7586
NGC 7329,33.02,0.22,40.2,Sosies,2002A&A...393...57T,,22:40:24,-66:28:44,321,-45.8,SBR3,3057
ESO 147- G 005,34.34,...,73.8,Tully-Fisher,2004ApJ...607..241R,B,22:41:37,-57:36:21,330.7,-51.9,SBR5*,10821
Tucana Dwarf,24.69,0.16,0.87,TRGB,1996A&A...315...40S,I,22:41:49,-64:25:12,322.9,-47.4,DE.4,34
[P95c] J224541-0845.2,36.193*,0.035,165,SNIa,2006ApJ...647..501P,"SN 1995ac, z = 0.0499",22:45:34,-8:45:03,58.7,-55,S,14698
ESO 147- G 010,34.75,...,89.1,Tully-Fisher,2004ApJ...607..241R,"B, TD-Tully-Fisher",22:48:58,-57:53:45,329.3,-52.5,S.4?P/,10567
NGC 7392,33.18,0.09,43.3,Sosies,2002A&A...393...57T,,22:51:49,-20:36:29,39.9,-62,SAS4,3177
IC 1459,32.33,0.28,29.2,SBF,2001ApJ...546..681T,I,22:57:11,-36:27:44,4.7,-64.1,E.3+,1697
IC 5269,32.02,0.3,25.4,SBF,2001ApJ...546..681T,I,22:57:44,-36:01:34,5.6,-64.3,LXT.*,1987
IC 5270,31.99,0.14,25,SNIa,2005ApJ...624..532R,SN 1993L,22:57:55,-35:51:29,5.9,-64.4,SBR6*/,1663
IC 5271,31.89,0.11,23.9,Sosies,2002A&A...393...57T,,22:58:02,-33:44:32,10.8,-64.8,S..3?,1754
NGC 7448,33.19,0.14,43.5,SNIa,2005ApJ...624..532R,SN 1997dt,23:00:04,#REF!,87.6,-39.1,SAT4,2370
NGC 7457,30.35,0.1,11.7,SBF,1997AJ....114..626A,I,23:01:00,#REF!,96.2,-26.9,LAT-$,1026
NGC 7454,31.89,0.3,23.9,SBF,2001ApJ...546..681T,I,23:01:07,#REF!,88.1,-38.9,E.4,2167
[HM92] 230149-3736.8,38.17*,0.29,391,SNIa,2006ApJ...645..488W,"SN 1992aq, z = 0.101",23:04:34,-37:20:33,1.8,-65.3,Sa?,28757
NGC 7479,32.46,...,31.1,HII,2005JKAS...38....7I,,23:04:57,#REF!,86.3,-42.8,SBS5,2544
NGC 7507,31.99,0.17,25,SBF,2001ApJ...546..681T,I,23:12:08,-28:32:23,23.4,-68,E.0,1597
NGC 7537,32.39,...,30.1,Tully-Fisher,2004ApJ...607..241R,"B, TD-Tully-Fisher",23:14:35,#REF!,82.8,-50.7,SA.4*,2815
NGC 7541,32.50*,0.19,31.3,SNIa,2006ApJ...645..488W,"SN 1998dh, z = 0.00897",23:14:44,#REF!,82.8,-50.7,SBT4*P,2822
NGC 7531,32.01,0.07,25.2,Sosies,2002A&A...393...57T,,23:14:49,-43:36:00,346.4,-64.5,SXR4,1569
ESO 291- G 011,36.20*,0.19,167,SNIa,2006ApJ...645..488W,"SN 1992bl, z = 0.043",23:15:12,-44:44:12,344.1,-63.9,SB(s)0/a,12584
NGC 7562,33.79,0.84,57.3,SBF,2001ApJ...546..681T,I,23:15:58,#REF!,85.1,-49,E.2+,3686
[P95d] J231656.01-020436.9,37.54*,0.34,301,SNIa,2004ApJ...607..665R,"SN 1995ae, z = 0.06895",23:16:56,-2:04:36,76.8,-56.2,,20081
NGC 7582,31.49,0.1,19.9,Sosies,2002A&A...393...57T,,23:18:24,-42:22:14,348.1,-65.7,PSBS2,1551
NGC 7590,32.03,0.05,25.5,Sosies,2002A&A...393...57T,,23:18:55,-42:14:21,348.2,-65.8,SAT4*,1569
NGC 7599,31.91,0.06,24.1,Sosies,2002A&A...393...57T,,23:19:21,-42:15:25,348.1,-65.9,SAS5,1639
NGC 7619,33.62,0.31,53,SBF,2001ApJ...546..681T,I,23:20:15,#REF!,87.7,-48.3,E,3953
NGC 7634,33.58,0.14,52,SNIa,2005ApJ...624..532R,SN 1972J,23:21:42,#REF!,88.7,-47.9,LB,3375
UGCA 438,26.59,0.12,2.08,TRGB,1999AJ....118..817L,I,23:26:28,-32:23:20,11.9,-70.9,IBS9P*,74
"Cassiopeia Dwarf, And VII",24.25,0.25,0.708,TRGB,1999AstL...25..332T,I,23:26:32,#REF!,109.5,-10,Sph?,-95
NGC 7678,32.74,0.39,35.3,Sosies,2002A&A...393...57T,,23:28:28,#REF!,98.9,-36.5,SXT5,3665
"DDO 216, Peg DIG",24.92,0.2,0.964,Cepheids,2006MmSAI..77..299G,"3, R",23:28:36,#REF!,94.8,-43.6,I..9,-20
IC 5328,32.89,0.15,37.8,SBF,2001ApJ...546..681T,I,23:33:17,-45:00:58,338.9,-66.3,E.4,3066
NGC 7721,32.19,0.11,27.4,Sosies,2002A&A...393...57T,,23:38:49,-6:31:04,79.7,-63.1,SAS5,2110
NGC 7723,31.95,0.24,24.5,Sosies,2002A&A...393...57T,,23:38:57,-12:57:40,69.2,-67.9,SBR3,1951
[QQH97] J234014.21+261211.8,35.75*,0.27,137,SNIa,2006ApJ...645..488W,"SN 1997dg, z = 0.034",23:40:14,#REF!,103.6,-34,S:,10201
UGCA 442,28.15,0.27,4.27,TRGB,2003A&A...404...93K,,23:43:46,-31:57:24,10.7,-74.5,SBS9*/,275
NGC 7741,30.5,0.39,12.6,Sosies,2002A&A...393...57T,,23:43:54,#REF!,104.5,-34.4,SBS6,935
NGC 7743,31.42,0.17,19.2,SBF,2003ApJ...583..712J,I,23:44:21,#REF!,97,-49.5,RLBS+,1807
kkh 098,26.95,0.11,2.45,TRGB,2002A&A...389..812K,,23:45:34,#REF!,109.1,-22.4,Irr,59
1ES 2344+514,37,...,241,BL LAC M,2005ApJ...635..173S,,23:47:05,#REF!,112.9,-9.9,BLLAC,12900
NGC 7755,32.65,0.45,33.9,Sosies,2002A&A...393...57T,,23:47:52,-30:31:19,15.5,-75.7,SBT5*,2972
"And VI, Peg dw Sph",24.45,0.1,0.775,TRGB,1999AJ....118.1220A,I,23:51:46,#REF!,106,-36.3,Sph?,-180
ESO 471- G 027,35.346*,0.067,114,SNIa,2006ApJ...647..501P,"SN 1993ah, z = 0.02936",23:51:50,-27:57:55,25.9,-76.8,L?,8917
